sku,brand,name,packaging,image_url,description
3641412,Packer,Banana Petite Fresh,1/75CT,https://mediacdn.sysco.com/images/rendition?id=fe256956b13d5c939b1c66569401c8851ec99870,Product description is not available
1472554,Propack,Cucumbers Fresh,1/36CT,https://mediacdn.sysco.com/images/rendition?id=7e876b3980ecaf598ebd05efd64c917496e245c1,"Happy Produce label 36 count cucumbers are cylindrical, elongated fruit with a hard outer rind. Oblong in shape, with small tubercles, should be dark green, firm and glossy with good color and free from decay and sunscald....
Read More"
7864964,Packer,Mushrooms Mature Local Fresh,1/10 LB,https://mediacdn.sysco.com/images/rendition?id=c64eca6090614888a3be64899ea9ea7b21a03612,Product description is not available
1008481,Imperial Fresh,Potato Baking Russet 120 Count Fresh,1/50 LB,https://mediacdn.sysco.com/images/rendition?id=c8c4185767f4e19fd70221fea5254f70ee9aa1d5,"Imperial Fresh high quality 120 Idaho russet potatoes grown in ideal conditions to provide a beautiful brown skin, white interior product. Available year-rou...
Read More"
1908318,Sysco/freshpoint Natural,Lettuce Iceberg Premium Palletized,1/24CT,https://mediacdn.sysco.com/images/rendition?id=2ef9192e971f9d2e358b0234d17495da9b68f56e,"Sysco premium iceberg lettuce is packed in the field and comes unwashed to preserve its crisp freshness...
Read More"
1254390,Propack,Blueberries Fresh,12/1PT,https://mediacdn.sysco.com/images/rendition?id=113089bca005a1b6a5c9b1af8f871916ef3f357f,"Driscoll’s berries are some of the most delicious, nutritious, disease-fighting fruits you can eat. Recent study findings suggest that blueberries may influence genes which regulate fat-burning and storage, helping reduce abdominal fat and lower...
Read More"
1099589,Imperial Fresh,Tomato Bulk Fresh,1/5 LB,https://mediacdn.sysco.com/images/rendition?id=8ed27cff325a0448f9fd13b231317ece70cbdf83,"Sysco Imperial round tomatoes in a bulk pack. Hand selected for color uniformity.

• Net product weight of five pounds...
Read More"
4935623,Reliance Fresh,Tomato Bulk Utility Fresh,1/25 LB,https://mediacdn.sysco.com/images/rendition?id=8710d70cf87a211dce258f78a1430e4689e6578f,"Sysco Reliance round tomatoes in a bulk pack. This is a #2 grade product for batch use applications due to variability in quality, sizing, and color....
Read More"
5418132,Reliance Fresh,Tomato Roma Utility Fresh,1/25 LB,https://mediacdn.sysco.com/images/rendition?id=a4f03b6b401f8fb1f90d4e02af6e0a7346c57e1d,"Sysco Reliance roma tomatoes in a bulk pack. This is a #2 grade product for batch use applications due to variability in quality, sizing, and color....
Read More"
7651841,Reliance Fresh,Orange Choice Fresh 88 Count,1/88 CT,https://mediacdn.sysco.com/images/rendition?id=f57008c098785122e1350d4d71e920b966701193,"Sysco Reliance Fresh choice oranges are ideal for slicing in a citrus-based salad or serving whole on a fruit bar. Use these fresh oranges for garnish, or peel and dice them for recipes and baked goods....
Read More"
